AUC-ROC,AUC-PR,Jaccard系数,F1分数,准确率,敏感性,特异性,精确率
0.9892533238431684,0.9395946711533331,0.74939235662202,0.8567458909778881,0.9630279541015625,0.8776838981254353,0.9753276624345876,0.8367836004042154
0.9885925652503326,0.9383533040819392,0.7450960121985889,0.8539312530545147,0.9623756408691406,0.8730807667847733,0.9752447375427172,0.8356037331169207
0.9883467860187256,0.9484927713738472,0.7628506708485799,0.8654739547296629,0.9636573791503906,0.8403531863551607,0.9835826583243233,0.8921428779365957
0.9890240292457547,0.9495200042544124,0.7643751088552163,0.8664541967509025,0.9638748168945312,0.8424097839201492,0.9835028979599071,0.891911508535594
0.9790710447223695,0.9131711938921024,0.6768468304834064,0.807285219113642,0.9524917602539062,0.7320872274143302,0.9871618847483368,0.8996999275687235
0.9797818689642108,0.9141679402687695,0.6710235688485825,0.8031287904705627,0.9517059326171875,0.7247340798742667,0.9874091111768419,0.9005405405405406
0.9769205548031415,0.9177498105199146,0.7129268629890778,0.8324078259185124,0.9603958129882812,0.7692743764172335,0.9884134926605666,0.9068303320202589
0.9759617550603386,0.91598256958354,0.709884218961563,0.8303301604744745,0.9599494934082031,0.766499582289056,0.9883085186416362,0.9057575009695731
0.9774698203376533,0.9145846401196498,0.6802292419262841,0.8096862320363396,0.9550895690917969,0.7255345037371806,0.9899000992856704,0.9159199795194383
0.9769718724230989,0.9148640055986614,0.6834039778284969,0.8119310478404028,0.9555511474609375,0.7286633061011646,0.9899572105119802,0.9166848895692106
0.9746498830199496,0.9098339437455328,0.6687735726362336,0.8015150570484444,0.9514236450195312,0.7141547691794901,0.989197053178976,0.9132272501243163
0.9755241675249542,0.9109905889563334,0.6715615952424424,0.8035140280248416,0.95196533203125,0.7151547136270208,0.9896657852145997,0.9167853582110811
0.9780502321720214,0.9165807306567986,0.684922244759973,0.8130016051364366,0.95733642578125,0.7296518607442977,0.9904905079886726,0.917849592268197
0.978951202592354,0.9165075522811188,0.6840851779209862,0.8124116130105649,0.9569892883300781,0.7327430972388955,0.9896426948222214,0.9115176404704125
0.9805552904269106,0.914582446141121,0.6752886290489267,0.8061758640745897,0.9580497741699219,0.7228877580048677,0.9903256734068814,0.9111553784860558
0.9810819909667211,0.9148750344556907,0.6724785011377404,0.8041699796801838,0.9577217102050781,0.7192843822107027,0.9904471447721761,0.9117717765846622
0.9797826323650749,0.9154540535523658,0.6925796129818681,0.8183716826905766,0.961517333984375,0.7464446415081946,0.9897797554564798,0.9056385734210002
0.9809518746316739,0.9175551542314879,0.6922841396203306,0.8181653700018093,0.9616622924804688,0.7426018983807928,0.990448732611989,0.9108488095717682
0.9815284688919766,0.9158698228236145,0.6991173643275365,0.8229182739289205,0.9605979919433594,0.7776805677068144,0.9850053830156129,0.873743993010048
0.9809719930771877,0.9148318345788217,0.6973568797146366,0.82169741443164,0.9605140686035156,0.7728524675156346,0.9855544938452027,0.8771329802883201
0.9790889330855956,0.9147860308561757,0.7005064216351676,0.823879772193482,0.9562339782714844,0.783343550223312,0.982223645929781,0.8688402512465194
0.9794377438883716,0.9154368605762749,0.7021632354478002,0.825024557956778,0.956512451171875,0.7845403859065301,0.9823640664013304,0.8699142256028484
0.9866077757991587,0.9346435591020383,0.7333218707015131,0.846146215653209,0.9645004272460938,0.8062635873846057,0.9862980404071092,0.890179844853376
0.9863933295145579,0.9346670494138822,0.7344619799139168,0.8469046752473283,0.9646987915039062,0.8064526292573805,0.9864976888522384,0.8916292193541645
0.9795401998191979,0.9229922723773207,0.7099616858237547,0.8303831503473001,0.9566841125488281,0.7676692352307565,0.9869742450329074,0.9042553191489362
0.979788620546753,0.921502654358418,0.7031529003622264,0.825707310497701,0.9556083679199219,0.7613168724279835,0.9867440923797342,0.9019960732984293
0.9883865804901761,0.93726591579566,0.7454696198033874,0.8541765623939743,0.9672088623046875,0.8421475163070747,0.9833067096090834,0.8665542284789867
0.9886406515250132,0.9378983565910151,0.7462071826478606,0.8546605352021858,0.9673271179199219,0.8423816691754474,0.9834100469754444,0.8673026587684254
0.9887571101916977,0.9345784749372543,0.7421359223300971,0.8519839500668748,0.9696044921875,0.8470431795515827,0.9837198123120249,0.8569826974102172
0.9895227836522611,0.9368289181557405,0.748311527292897,0.8560391161540758,0.9705734252929688,0.8471539910612049,0.984787574817821,0.8651125947719814
0.9895019087125817,0.9423567480130355,0.7492730564547101,0.8566679212144022,0.9651336669921875,0.8323886146157128,0.9841276762743645,0.8824061510628675
0.989160084021407,0.9408249283518072,0.749855955222652,0.8570487793405145,0.9652214050292969,0.8328762113731943,0.9841581999738368,0.88266640829377
0.9848372829045475,0.9203678426437538,0.7015830346475508,0.8246239182713405,0.9618873596191406,0.7690720974395914,0.9873144446075596,0.8888258220759072
0.9849537737104747,0.9209006755462849,0.7029999700302695,0.8256018583697029,0.9621963500976562,0.7680243598978456,0.9878023505841919,0.8925119853892398
0.9901670779576371,0.9353509127364568,0.7409404723102907,0.8511956429240064,0.9666481018066406,0.8607028534058445,0.9798533619916685,0.8418961686081745
0.989989474476441,0.9349728236341981,0.7395931882686849,0.8503059143439837,0.966400146484375,0.8610470519395588,0.9795315992466461,0.839829455802867
0.9916216878121288,0.9584326159276976,0.794882070070987,0.8857206646891845,0.9726638793945312,0.8998703823720026,0.9823766451635219,0.8720090435219494
0.9922383138318257,0.9588618200376833,0.790872460206327,0.8832258888108764,0.9720840454101562,0.8967919637070642,0.9821301949118832,0.8700641348088531
0.9898454542877628,0.9312755043417088,0.7329590012233759,0.8459046067517422,0.9675254821777344,0.8644149310051422,0.9793801278534152,0.8281704118522719
0.990219710218367,0.9325982598082878,0.7399633884610529,0.8505505269458905,0.9685707092285156,0.867337501387296,0.9802095162751528,0.8344010249839846
